param,magnitude,unit,sign,mean_cm,median_cm,p95_cm,max_cm,Nose_mean_cm,L_Eye_mean_cm,R_Eye_mean_cm,L_Ear_mean_cm,R_Ear_mean_cm,L_Shoulder_mean_cm,R_Shoulder_mean_cm,L_Elbow_mean_cm,R_Elbow_mean_cm,L_Wrist_mean_cm,R_Wrist_mean_cm,L_Hip_mean_cm,R_Hip_mean_cm,L_Knee_mean_cm,R_Knee_mean_cm,L_Ankle_mean_cm,R_Ankle_mean_cm
tx,50.0,mm,+,2.236268929166683,2.2766928468628533,2.7794354025161003,2.988215923212836,2.2700499838350625,2.274119981923767,2.264472599207325,2.2689632157218456,2.232449289990063,2.285236628483136,2.192975467944427,2.3104063865018007,2.187937231484584,2.3307296546216056,2.2059254327308353,2.254363003718029,2.200289284563992,2.2314269343654556,2.1844389052195248,2.1801273290873016,2.142660466434858
tx,50.0,mm,-,2.239001661490816,2.2826097077518033,2.780058533187037,2.9891043271524045,2.272924925209573,2.276947724664364,2.267327676550377,2.271598277088925,2.2354690872026364,2.2876314153120645,2.196162823775975,2.3125325025847676,2.1912963782714026,2.333063300899437,2.2093775361961105,2.2569397632652493,2.203499769353738,2.2336884546494766,2.1873832004057774,2.1819638841044244,2.145221525809573
ty,1.0,mm,+,0.028346470255499797,0.028393210785747476,0.028522118351805972,0.028568367427985783,0.02833839588806191,0.028324894469044445,0.028323053816228735,0.028323816047502125,0.028316981622603342,0.028398932150558085,0.028378366825548416,0.028443121486967215,0.028422067378402374,0.0284381053697935,0.028427078922804033,0.028422559488578563,0.028420931412256156,0.02832876951586829,0.028334337482781476,0.028113376159770193,0.028135206306727657
ty,1.0,mm,-,0.028349327057045123,0.028393964757684284,0.028527286322316058,0.02873114490614611,0.028340474952390265,0.028327200923228404,0.02832531451229261,0.028326190130581852,0.02831916370695721,0.028401034861008513,0.02837956056365749,0.028446567109661987,0.02842307378283668,0.0284417065193008,0.02842844599722684,0.028424072155428113,0.02842137662231578,0.028332710503048333,0.028336133065578934,0.028123747536655856,0.02814178702759747
ty,2.0,mm,+,0.05669551462522101,0.05678677474254933,0.0570500124783466,0.057146511342051,0.056680640036835976,0.05665390184884047,0.056650163719609445,0.05665189878524299,0.05663806393351353,0.05680128494721767,0.05675975023473346,0.05688931980063727,0.0568462412109819,0.056878262349507804,0.0568557994790728,0.056846334627807846,0.05684264942941946,0.05665865424450352,0.056668843914444836,0.05622998057772399,0.056271959488664196
ty,2.0,mm,-,0.05669598318501331,0.056786782843993244,0.0570483075111218,0.057152553057765995,0.056677040392765984,0.056650217005894704,0.05664651642298413,0.05664802412272663,0.056634180966671895,0.05679854830008689,0.05675608021744001,0.05688980403418546,0.05684403374926699,0.05688061714873294,0.05685524583840037,0.056846883098803355,0.05684195580480129,0.05666426923973223,0.05667209281666351,0.05624420963170738,0.0562819953543625
ty,5.0,mm,+,0.14174768629927428,0.14196497871921757,0.1426491465940901,0.1428957213826656,0.14171897573528225,0.14165315661690892,0.1416435536108711,0.14164890255971535,0.14161368358301882,0.1420182838681793,0.14191386560226815,0.14223415889494737,0.14212542151314428,0.14220174295569632,0.14214602978881585,0.14211982830907446,0.1421103111234909,0.141645196357067,0.1416696836584011,0.14057232425721367,0.14067554865356804
ty,5.0,mm,-,0.14173143671754335,0.14196504039387914,0.1425971343856943,0.1428519225737697,0.14167562516435875,0.14160753272118737,0.1415985504013784,0.14160128670218664,0.14156734531523157,0.14198167172196752,0.14187614936007223,0.14221391215912582,0.1421007170319495,0.1421953670708345,0.14213203117000975,0.14211362741178404,0.1421016456832039,0.1416625293264027,0.14168310575959506,0.14061355681928042,0.14070977037966861
ty,10.0,mm,+,0.28351874952836703,0.28393323533294923,0.2853619507689523,0.2858603020653185,0.2834888975997234,0.28336002841523517,0.283340095437651,0.2833537482817197,0.28328167238933016,0.2840803885431305,0.2838713601602585,0.28449681852511804,0.2842803577682979,0.28441742419406324,0.2843107430015674,0.28425025047525115,0.284232199972172,0.28327977452511055,0.2833295854558,0.2811186939100261,0.2813267033277843
ty,10.0,mm,-,0.28344279273423845,0.2839311417617765,0.28513276286742484,0.28563850287440884,0.283303580576298,0.28316462339219,0.28314739373161424,0.28314991512511806,0.2830837092861058,0.28392279343809407,0.2837120512756155,0.28440253303529756,0.2841753074775823,0.28437986666677917,0.2842487270273092,0.2842199449062451,0.28419506401583083,0.2833389571090541,0.28337934015010857,0.2812563668252631,0.2814473024435488
